iter	Logloss
0	0.6879743747
1	0.6843413788
2	0.680576036
3	0.6765781994
4	0.6720828731
5	0.6681617206
6	0.6641912494
7	0.6602881426
8	0.6562625539
9	0.6528483201
10	0.6487823171
11	0.6454980483
12	0.6418953181
13	0.6374430527
14	0.6339676286
15	0.6304252376
16	0.6266998319
17	0.6237660301
18	0.6204393539
19	0.6170129332
20	0.6133403933
21	0.6104931872
22	0.6069523348
23	0.603646689
24	0.6005391512
25	0.5977520169
26	0.5948189454
27	0.5919831269
28	0.5885064835
29	0.5848272795
30	0.5822076112
31	0.5790604282
32	0.5762251904
33	0.5745338488
34	0.5719085317
35	0.5693364576
36	0.566548556
37	0.5647413394
38	0.5622430312
39	0.5600037857
40	0.5579785561
41	0.5555817049
42	0.5533884097
43	0.5503717805
44	0.54825867
45	0.5458783119
46	0.5441370473
47	0.5422491643
48	0.5397110989
49	0.537848229
50	0.5355250182
51	0.5334717109
52	0.5308796215
53	0.5291890651
54	0.5273403612
55	0.525202516
56	0.5232145662
57	0.521239356
58	0.5188927289
59	0.5166495562
60	0.5151264166
61	0.5128109024
62	0.5114747483
63	0.5096207775
64	0.5072601082
65	0.5052769669
66	0.5036622522
67	0.5017328101
68	0.5005424794
69	0.4991694937
70	0.4976900272
71	0.4958906529
72	0.4944549524
73	0.4929500528
74	0.4913298632
75	0.4898797501
76	0.488294582
77	0.4866732711
78	0.4849082754
79	0.483234378
80	0.4822154619
81	0.4805651259
82	0.4789436999
83	0.4773680166
84	0.4759591551
85	0.4743295851
86	0.4733052501
87	0.4719029267
88	0.4704196854
89	0.4692433735
90	0.4676876871
91	0.4663135213
92	0.4648500798
93	0.4634104392
94	0.4622452599
95	0.4610022268
96	0.459612218
97	0.4586477994
98	0.4574413756
99	0.4564240728
100	0.4550639574
101	0.454240852
102	0.4532566698
103	0.4520655896
104	0.4507238142
105	0.4498366154
106	0.448789593
107	0.4479769587
108	0.4470681257
109	0.4461679174
110	0.4449305741
111	0.4442033422
112	0.4431957539
113	0.4420871659
114	0.4411092529
115	0.4404176907
116	0.4393393015
117	0.4385459008
118	0.4376310541
119	0.4365918781
120	0.4356994979
121	0.4348410932
122	0.4339453006
123	0.4328034077
124	0.431928285
125	0.4312557161
126	0.4304025795
127	0.4298279534
128	0.4289908287
129	0.428105973
130	0.427490596
131	0.4263412133
132	0.4253331434
133	0.4243618932
134	0.4236335411
135	0.4228861331
136	0.4221383023
137	0.4212786614
138	0.4205727427
139	0.4198397997
140	0.4190528134
141	0.4181762149
142	0.4177653195
143	0.4171131015
144	0.4165638864
145	0.4156470742
146	0.4153234015
147	0.4145419637
148	0.4139180496
149	0.4128167205
150	0.4120071455
151	0.4115050242
152	0.4103879049
153	0.409697474
154	0.4090180042
155	0.4084361125
156	0.4075078837
157	0.4070228613
158	0.4060864289
159	0.4055216193
160	0.4049736656
161	0.4043031427
162	0.4037889177
163	0.4029969288
164	0.4019218261
165	0.4013294105
166	0.4007641654
167	0.4000705977
168	0.3996680091
169	0.3989466789
170	0.3983709603
171	0.3975277633
172	0.396908402
173	0.3965347186
174	0.3956731972
175	0.395287254
176	0.3945193803
177	0.3937662372
178	0.3930185817
179	0.3923731328
180	0.3918566503
181	0.3910108584
182	0.3904346524
183	0.3898631051
184	0.3889877
185	0.3883859996
186	0.3876584568
187	0.3871095688
188	0.3866930076
189	0.3860056235
190	0.3854310009
191	0.3848506157
192	0.3842016369
193	0.3836819031
194	0.3830973944
195	0.3827259355
196	0.3822291781
197	0.3818127187
