iter	Passed	Remaining
466	732	836
467	734	834
468	735	832
469	736	830
470	737	828
471	738	826
472	740	824
473	741	822
474	742	820
475	743	818
476	744	816
477	746	814
478	747	812
479	748	810
480	749	808
481	751	807
482	752	805
483	753	803
484	754	801
485	755	799
486	757	797
487	758	795
488	759	793
489	760	791
490	762	790
491	763	788
492	764	786
493	765	784
494	767	782
495	768	780
496	769	778
497	770	777
498	772	775
499	773	773
500	774	771
501	775	769
502	776	767
503	778	765
504	779	764
505	781	762
506	782	761
507	784	759
508	785	757
509	786	755
510	788	754
511	789	752
512	791	750
513	792	749
514	793	747
515	794	745
516	796	744
517	797	742
518	799	740
519	800	738
520	801	737
521	803	735
522	804	733
523	806	732
524	807	730
525	808	728
526	810	727
527	812	726
528	813	724
529	814	722
530	816	721
531	817	719
532	818	717
533	820	715
534	821	713
535	822	712
536	824	710
537	825	709
538	826	707
539	828	705
540	829	703
541	831	702
542	832	700
543	833	698
544	835	697
545	836	695
546	837	693
547	838	692
548	840	690
549	841	688
550	842	686
551	844	685
552	845	683
553	846	681
554	847	679
555	849	678
556	850	676
557	851	674
558	853	672
559	854	671
560	855	669
561	856	667
562	858	666
563	859	664
564	860	662
565	861	660
566	863	659
567	864	657
568	865	655
569	867	654
570	868	652
571	869	650
572	870	648
573	872	647
574	873	645
575	874	643
576	876	642
577	877	640
578	878	638
579	879	637
580	881	635
581	882	633
582	883	632
583	884	630
584	886	628
585	887	626
586	888	625
587	890	623
588	891	621
589	892	620
590	893	618
591	894	616
592	896	615
593	897	613
594	898	611
595	899	609
596	901	608
597	902	606
598	904	605
599	905	603
600	906	601
601	907	600
602	909	598
603	910	596
604	911	595
605	912	593
606	914	591
607	915	590
608	916	588
609	917	586
610	919	585
611	920	583
612	921	582
613	923	580
614	924	578
615	925	577
616	926	575
617	928	573
618	929	572
619	930	570
620	931	568
621	933	567
622	934	565
623	935	563
624	936	562
625	938	560
626	939	558
627	940	557
628	942	555
629	943	554
630	944	552
631	945	550
632	947	549
633	948	547
634	949	545
635	950	544
636	952	542
637	953	540
638	954	539
639	955	537
640	957	536
641	958	534
642	959	532
643	961	531
644	962	529
645	963	527
646	964	526
647	965	524
648	967	523
649	968	521
650	969	519
651	970	518
652	972	516
653	973	514
654	974	513
655	976	511
656	977	510
657	978	508
658	980	507
659	981	505
660	982	504
661	984	502
662	985	500
663	986	499
664	988	497
665	989	496
666	991	494
667	992	493
668	993	491
669	995	490
670	996	488
671	997	487
672	999	485
673	1000	483
674	1001	482
675	1003	480
676	1004	479
677	1005	477
678	1007	476
